SIRET,SIREN,DEPARTEMENT,NOM_COMMUNE,INSEE,CODE_COMMUNE,POP_2022,FRAIS_REPRESENTATION,EUR_PAR_HAB,COUL_POL,LATITUDE,LONGITUDE,TOTAL_CHARGES,CHARGES_PERSONNEL,ACHATS_SERVICES,CHARGES_FINANCIERES,CHARGES_EXCEPT,AUTRES_CHARGES_GESTION,RATIO_FRAIS_REP
21210607400017,212106074,21,SEURRE,607,21607,2336,190.0,0.08,Non classé,47.0074486166,5.15220213947,2447537.51,1118892.61,829258.77,187779.91,12578.08,197293.74,0.0078
20005670300016,200056703,22,PORDIC,251,22251,7393,994.0,0.13,Droite,48.5702275208,-2.82517190036,8264681.05,4055990.57,1729347.43,230709.56,977860.94,528584.34,0.012
20008416800018,200084168,22,LA ROCHE JAUDY,264,22264,2643,195.0,0.07,Non classé,48.7456370261,-3.25762802773,2952118.87,1395364.87,882649.0,40716.33,67574.42,259168.26,0.0066
21220005900013,212200059,22,BELLE-ISLE-EN-TERRE,5,22005,1031,317.05,0.31,Non classé,48.5310285208,-3.38188859591,963639.77,427701.81,291324.04,19736.61,100.0,188635.53,0.0329
21220039800015,212200398,22,LA CHEZE,39,22039,572,382.03,0.67,Non classé,48.1346308811,-2.66260913976,1501589.92,662243.75,460918.54,22281.26,255996.95,84051.17,0.0254
21220121400013,212201214,22,LANVOLLON,121,22121,1907,700.2,0.37,,48.6334353937,-2.98974658224,1940103.36,729096.35,382456.98,32205.6,257.0,150614.25,0.0361
21220144600011,212201446,22,LA MEAUGON,144,22144,1326,1456.49,1.1,Non classé,48.5044768613,-2.84729418508,1009862.18,527235.91,332568.06,22933.27,8633.56,92343.3,0.1442
21220212100019,212202121,22,PLOUEC-DU-TRIEUX,212,22212,1140,30.0,0.03,Non classé,48.6722943477,-3.18747531315,894199.19,415533.82,300139.6,73501.9,163.0,76570.14,0.0034
21220213900011,212202139,22,PLOUER-SUR-RANCE,213,22213,3423,308.0,0.09,Gauche,48.5248482927,-2.00660319758,3389887.69,1521900.58,1166943.75,64334.18,35541.96,290808.57,0.0091
21220241000016,212202410,22,PLUMIEUX,241,22241,1654,281.75,0.17,Non classé,48.1061077392,-2.59155562582,1050094.31,347812.87,509370.89,3069.03,350.0,172488.82,0.0268
21220259200011,212202592,22,QUEVERT,259,22259,3963,1080.0,0.27,Gauche,48.463126899,-2.08562877928,2969384.4,1769947.8,800718.76,14381.88,17.0,197392.17,0.0364
21220324400018,212203244,22,SAINT-QUAY-PERROS,324,22324,1289,543.0,0.42,Non classé,48.7821597009,-3.44898067096,1175529.79,605552.27,381694.76,55738.85,2220.0,92917.53,0.0462
21220337600018,212203376,22,SEVIGNAC,337,22337,1116,101.76,0.09,Non classé,48.3321356963,-2.3200523158,839823.59,358394.56,287117.36,30223.0,40871.12,100081.84,0.0121
21220372300011,212203723,22,TREMUSON,372,22372,2238,60.7,0.03,,48.5248190208,-2.84790774522,1834771.86,993886.35,623930.65,13382.91,36960.07,93608.46,0.0033
21220389700013,212203897,22,YFFINIAC,389,22389,4980,106.3,0.02,Gauche,48.4685015878,-2.68098120309,6918285.94,4277233.53,1643439.5,34248.43,22394.38,453324.17,0.0015
21220392100011,212203921,22,PLEVENON,201,22201,757,787.1,1.04,Non classé,48.6575564031,-2.32020473916,1219166.42,543884.32,402235.1,6613.6,112.5,197485.3,0.0646
21230210300016,212302103,23,BENEVENT-L'ABBAYE,21,23021,767,95.0,0.12,Non classé,46.1177051494,1.62940216696,1042529.99,341947.28,430391.88,12939.86,4371.43,159295.05,0.0091
21230470300011,212304703,23,CHAMBORAND,47,23047,243,50.0,0.21,Non classé,46.1570722156,1.57302585912,232812.12,97172.04,72568.87,1084.87,10.0,46698.11,0.0215
21230930600018,212309306,23,GOUZON,93,23093,1565,142.21,0.09,Non classé,46.1872230665,2.23078389232,1416810.79,593205.22,517971.66,39571.13,43672.98,193311.43,0.01
21231950300018,212319503,23,SAINT-FIEL,195,23195,1079,715.8,0.66,Non classé,46.2132149531,1.89527202748,1058077.97,534512.83,331733.16,17069.98,1525.44,117173.87,0.0677
20006514200016,200065142,24,CASTELS ET BEZENAC,87,24087,805,95.0,0.12,Non classé,44.8705381917,1.08038180095,366213.38,124824.89,115905.54,4172.03,0.0,78937.11,0.0259
20006535700010,200065357,24,BOULAZAC ISLE MANOIRE,53,24053,10628,3000.0,0.28,Gauche,45.1737726952,0.769368950586,17991592.96,6210826.69,4638321.17,344546.69,416293.67,2829484.11,0.0167
20009637800019,200096378,24,PECHS-DE-L'ESPERANCE,325,24325,784,98.0,0.13,#N/D,44.8912941721,1.4075345057,882035.05,278157.45,321519.71,37008.26,3668.76,192618.36,0.0111
21240040200013,212400402,24,BEYNAC-ET-CAZENAC,40,24040,447,520.4,1.16,Non classé,44.8572702356,1.13222078955,1113214.31,369552.04,437179.54,40306.51,136502.16,59147.76,0.0467
21240134300018,212401343,24,CORGNAC-SUR-L'ISLE,134,24134,862,72.0,0.08,Non classé,45.3733273094,0.944659017976,496980.08,244470.4,156734.88,4855.72,0.0,64826.61,0.0145
21240165700011,212401657,24,EYGURANDE-ET-GARDEDEUIL,165,24165,407,162.0,0.4,Non classé,45.0789974169,0.121214949187,236995.86,43517.03,122423.12,1470.26,0.0,68571.09,0.0684
21240179800013,212401798,24,LA FEUILLADE,179,24179,797,304.55,0.38,Non classé,45.1156060328,1.39759185904,623315.17,310565.07,210103.52,16716.63,0.0,71635.2,0.0489
21240471900016,212404719,24,SAINTE-NATHALENE,471,24471,648,115.0,0.18,Non classé,44.9135267404,1.28096434427,596810.9,255039.79,231466.84,11758.97,0.0,64206.13,0.0193
21240566600018,212405666,24,VARENNES,566,24566,460,95.0,0.21,Non classé,44.8341720876,0.668144001791,199707.5,83000.13,74023.97,3158.21,0.0,33438.71,0.0476
21240571600011,212405716,24,VERGT,571,24571,1750,22.0,0.01,Non classé,45.0414204199,0.710309790886,1803907.89,965051.4,494694.63,13854.52,168205.73,105949.03,0.0012
20006668600086,200066686,25,CHEMAUDIN-VAUX,147,25147,2114,26.08,0.01,Non classé,47.2179705804,5.89261031415,1885588.68,631474.81,712105.3,71689.52,25379.96,134810.54,0.0014
21250071400010,212500714,25,BONDEVAL,71,25071,481,31.7,0.07,Non classé,47.4336532746,6.8448325548,178177.57,47978.3,58013.72,3836.85,0.0,64325.0,0.0178
21250308000013,212503080,25,LES HOPITAUX-VIEUX,308,25308,463,537.0,1.16,Non classé,46.8032464609,6.39161147033,567388.87,72756.27,265358.08,8812.7,4616.82,137361.5,0.0946
